student_id,school_id,subject,test_score,test_date
800000000,13W320,ela,79,fall
800000001,13W320,ela,95,fall
800000002,13W320,ela,85,fall
800000003,13W320,ela,75,fall
800000004,13W320,ela,94,fall
800000005,11E205,ela,82,fall
800000006,11E205,ela,66,fall
800000007,11E205,ela,51,fall
800000008,11E205,ela,95,fall
800000009,11E205,ela,61,fall
800000010,19W107,ela,60,fall
800000011,19W107,ela,55,fall
800000012,19W107,ela,85,fall
800000013,19W107,ela,96,fall
800000014,19W107,ela,94,fall
800000015,13W320,ela,95,winter
800000016,13W320,ela,94,winter
800000017,13W320,ela,69,winter
800000018,13W320,ela,74,winter
800000019,13W320,ela,100,winter
800000020,11E205,ela,90,winter
800000021,11E205,ela,51,winter
800000022,11E205,ela,78,winter
800000023,11E205,ela,97,winter
800000024,11E205,ela,71,winter
800000025,19W107,ela,53,winter
800000026,19W107,ela,95,winter
800000027,19W107,ela,83,winter
800000028,19W107,ela,55,winter
800000029,19W107,ela,56,winter
800000030,13W320,ela,93,spring
800000031,13W320,ela,81,spring
800000032,13W320,ela,88,spring
800000033,13W320,ela,80,spring
800000034,13W320,ela,64,spring
800000035,11E205,ela,61,spring
800000036,11E205,ela,57,spring
800000037,11E205,ela,87,spring
800000038,11E205,ela,70,spring
800000039,11E205,ela,63,spring
800000040,19W107,ela,75,spring
800000041,19W107,ela,89,spring
800000042,19W107,ela,59,spring
800000043,19W107,ela,87,spring
800000044,19W107,ela,55,spring
800000045,13W320,ela,62,summer
800000046,13W320,ela,55,summer
800000047,13W320,ela,69,summer
800000048,13W320,ela,90,summer
800000049,13W320,ela,77,summer
800000050,11E205,ela,60,summer
800000051,11E205,ela,75,summer
800000052,11E205,ela,99,summer
800000053,11E205,ela,74,summer
800000054,11E205,ela,88,summer
800000055,19W107,ela,57,summer
800000056,19W107,ela,57,summer
800000057,19W107,ela,100,summer
800000058,19W107,ela,85,summer
800000059,19W107,ela,84,summer
800000060,13W320,ela,100,fall
800000061,13W320,ela,61,fall
800000062,13W320,ela,60,fall
800000063,13W320,ela,76,fall
800000064,13W320,ela,71,fall
800000065,11E205,ela,89,fall
800000066,11E205,ela,73,fall
800000067,11E205,ela,88,fall
800000068,11E205,ela,91,fall
800000069,11E205,ela,92,fall
800000070,19W107,ela,74,fall
800000071,19W107,ela,61,fall
800000072,19W107,ela,63,fall
800000073,19W107,ela,99,fall
800000074,19W107,ela,67,fall
800000075,13W320,ela,100,winter
800000076,13W320,ela,64,winter
800000077,13W320,ela,70,winter
800000078,13W320,ela,72,winter
800000079,13W320,ela,90,winter
800000080,11E205,ela,81,winter
800000081,11E205,ela,93,winter
800000082,11E205,ela,69,winter
800000083,11E205,ela,68,winter
800000084,11E205,ela,50,winter
800000085,19W107,ela,90,winter
800000086,19W107,ela,79,winter
800000087,19W107,ela,59,winter
800000088,19W107,ela,51,winter
800000089,19W107,ela,60,winter
800000090,13W320,ela,57,spring
800000091,13W320,ela,94,spring
800000092,13W320,ela,51,spring
800000093,13W320,ela,68,spring
800000094,13W320,ela,52,spring
800000095,11E205,ela,80,spring
800000096,11E205,ela,52,spring
800000097,11E205,ela,89,spring
800000098,11E205,ela,71,spring
800000099,11E205,ela,51,spring
