student_id,school_id,subject,test_score,test_date
800000000,13W320,extra,82,fall
800000001,13W320,extra,75,fall
800000002,13W320,extra,55,fall
800000003,13W320,extra,95,fall
800000004,13W320,extra,90,fall
800000005,11E205,extra,51,fall
800000006,11E205,extra,98,fall
800000007,11E205,extra,94,fall
800000008,11E205,extra,71,fall
800000009,11E205,extra,89,fall
800000010,19W107,extra,92,fall
800000011,19W107,extra,78,fall
800000012,19W107,extra,95,fall
800000013,19W107,extra,59,fall
800000014,19W107,extra,93,fall
800000015,13W320,extra,84,winter
800000016,13W320,extra,66,winter
800000017,13W320,extra,100,winter
800000018,13W320,extra,69,winter
800000019,13W320,extra,81,winter
800000020,11E205,extra,64,winter
800000021,11E205,extra,66,winter
800000022,11E205,extra,95,winter
800000023,11E205,extra,80,winter
800000024,11E205,extra,83,winter
800000025,19W107,extra,87,winter
800000026,19W107,extra,91,winter
800000027,19W107,extra,63,winter
800000028,19W107,extra,68,winter
800000029,19W107,extra,79,winter
800000030,13W320,extra,100,spring
800000031,13W320,extra,99,spring
800000032,13W320,extra,94,spring
800000033,13W320,extra,78,spring
800000034,13W320,extra,94,spring
800000035,11E205,extra,67,spring
800000036,11E205,extra,76,spring
800000037,11E205,extra,95,spring
800000038,11E205,extra,62,spring
800000039,11E205,extra,96,spring
800000040,19W107,extra,92,spring
800000041,19W107,extra,56,spring
800000042,19W107,extra,50,spring
800000043,19W107,extra,69,spring
800000044,19W107,extra,90,spring
800000045,13W320,extra,90,summer
800000046,13W320,extra,82,summer
800000047,13W320,extra,83,summer
800000048,13W320,extra,94,summer
800000049,13W320,extra,99,summer
800000050,11E205,extra,100,summer
800000051,11E205,extra,53,summer
800000052,11E205,extra,78,summer
800000053,11E205,extra,58,summer
800000054,11E205,extra,58,summer
800000055,19W107,extra,70,summer
800000056,19W107,extra,76,summer
800000057,19W107,extra,63,summer
800000058,19W107,extra,56,summer
800000059,19W107,extra,60,summer
800000060,13W320,extra,52,fall
800000061,13W320,extra,51,fall
800000062,13W320,extra,65,fall
800000063,13W320,extra,56,fall
800000064,13W320,extra,57,fall
800000065,11E205,extra,96,fall
800000066,11E205,extra,52,fall
800000067,11E205,extra,70,fall
800000068,11E205,extra,82,fall
800000069,11E205,extra,95,fall
800000070,19W107,extra,76,fall
800000071,19W107,extra,64,fall
800000072,19W107,extra,76,fall
800000073,19W107,extra,85,fall
800000074,19W107,extra,55,fall
800000075,13W320,extra,81,winter
800000076,13W320,extra,100,winter
800000077,13W320,extra,50,winter
800000078,13W320,extra,82,winter
800000079,13W320,extra,92,winter
800000080,11E205,extra,51,winter
800000081,11E205,extra,86,winter
800000082,11E205,extra,51,winter
800000083,11E205,extra,73,winter
800000084,11E205,extra,72,winter
800000085,19W107,extra,97,winter
800000086,19W107,extra,50,winter
800000087,19W107,extra,71,winter
800000088,19W107,extra,83,winter
800000089,19W107,extra,79,winter
800000090,13W320,extra,97,spring
800000091,13W320,extra,70,spring
800000092,13W320,extra,71,spring
800000093,13W320,extra,70,spring
800000094,13W320,extra,60,spring
800000095,11E205,extra,88,spring
800000096,11E205,extra,55,spring
800000097,11E205,extra,68,spring
800000098,11E205,extra,86,spring
800000099,11E205,extra,97,spring
