student_id,school_id,subject,test_score,test_date
800000000,13W320,math,90,fall
800000001,13W320,math,69,fall
800000002,13W320,math,83,fall
800000003,13W320,math,78,fall
800000004,13W320,math,58,fall
800000005,11E205,math,79,fall
800000006,11E205,math,70,fall
800000007,11E205,math,86,fall
800000008,11E205,math,92,fall
800000009,11E205,math,71,fall
800000010,19W107,math,59,fall
800000011,19W107,math,96,fall
800000012,19W107,math,95,fall
800000013,19W107,math,79,fall
800000014,19W107,math,70,fall
800000015,13W320,math,89,winter
800000016,13W320,math,96,winter
800000017,13W320,math,60,winter
800000018,13W320,math,84,winter
800000019,13W320,math,57,winter
800000020,11E205,math,64,winter
800000021,11E205,math,92,winter
800000022,11E205,math,79,winter
800000023,11E205,math,56,winter
800000024,11E205,math,52,winter
800000025,19W107,math,97,winter
800000026,19W107,math,61,winter
800000027,19W107,math,54,winter
800000028,19W107,math,90,winter
800000029,19W107,math,63,winter
800000030,13W320,math,55,spring
800000031,13W320,math,68,spring
800000032,13W320,math,79,spring
800000033,13W320,math,83,spring
800000034,13W320,math,54,spring
800000035,11E205,math,61,spring
800000036,11E205,math,59,spring
800000037,11E205,math,99,spring
800000038,11E205,math,66,spring
800000039,11E205,math,67,spring
800000040,19W107,math,87,spring
800000041,19W107,math,92,spring
800000042,19W107,math,91,spring
800000043,19W107,math,57,spring
800000044,19W107,math,62,spring
800000045,13W320,math,66,summer
800000046,13W320,math,69,summer
800000047,13W320,math,73,summer
800000048,13W320,math,100,summer
800000049,13W320,math,100,summer
800000050,11E205,math,91,summer
800000051,11E205,math,53,summer
800000052,11E205,math,51,summer
800000053,11E205,math,66,summer
800000054,11E205,math,52,summer
800000055,19W107,math,99,summer
800000056,19W107,math,70,summer
800000057,19W107,math,96,summer
800000058,19W107,math,78,summer
800000059,19W107,math,58,summer
800000060,13W320,math,75,fall
800000061,13W320,math,91,fall
800000062,13W320,math,51,fall
800000063,13W320,math,57,fall
800000064,13W320,math,65,fall
800000065,11E205,math,77,fall
800000066,11E205,math,63,fall
800000067,11E205,math,70,fall
800000068,11E205,math,73,fall
800000069,11E205,math,55,fall
800000070,19W107,math,85,fall
800000071,19W107,math,81,fall
800000072,19W107,math,87,fall
800000073,19W107,math,72,fall
800000074,19W107,math,98,fall
800000075,13W320,math,84,winter
800000076,13W320,math,74,winter
800000077,13W320,math,83,winter
800000078,13W320,math,61,winter
800000079,13W320,math,82,winter
800000080,11E205,math,59,winter
800000081,11E205,math,52,winter
800000082,11E205,math,90,winter
800000083,11E205,math,97,winter
800000084,11E205,math,58,winter
800000085,19W107,math,81,winter
800000086,19W107,math,93,winter
800000087,19W107,math,77,winter
800000088,19W107,math,89,winter
800000089,19W107,math,58,winter
800000090,13W320,math,58,spring
800000091,13W320,math,60,spring
800000092,13W320,math,79,spring
800000093,13W320,math,93,spring
800000094,13W320,math,88,spring
800000095,11E205,math,55,spring
800000096,11E205,math,56,spring
800000097,11E205,math,77,spring
800000098,11E205,math,94,spring
800000099,11E205,math,56,spring
